Date,Susceptible,Exposed,Infected,Recovered,Deaths
2020-03-15,1399.999887,0.0,9.8e-05,1.3e-05,2e-06
2020-03-16,1399.9998626851607,2.1640859189154203e-05,9.164645239142994e-05,2.2027527618116258e-05,2e-06
2020-03-17,1399.9998393562228,3.789231060568546e-05,9.006245322612393e-05,3.068901352889257e-05,3e-06
2020-03-18,1399.999815976863,5.080035346589961e-05,9.185356378389833e-05,3.9369219976990855e-05,3e-06
2020-03-19,1399.9997918009074,6.17261740419249e-05,9.612773487950837e-05,4.834518379827084e-05,4e-06
2020-03-20,1399.9997662663689,7.158323218692772e-05,0.00010232484142080854,5.782555777394498e-05,5e-06
2020-03-21,1399.9997389253083,8.099303333931269e-05,0.0001101050076821006,6.797665113759945e-05,4e-06
2020-03-22,1399.9997093971554,9.038754417607169e-05,0.0001192755402909305,7.893976065777476e-05,7e-06
2020-03-23,1399.9996773373632,0.00010007660882060665,0.00012974321999631417,9.084280867686124e-05,1e-05
2020-03-24,1399.9996424160588,0.00011029241108818416,0.00014148326169557678,0.00010380826929111506,1e-05
2020-03-25,1399.9996043031836,0.00012121889172094196,0.0001545192400998466,0.00011795868556405523,1.2e-05
2020-03-26,1399.999562657811,0.00013301131424928907,0.0001689102400775905,0.0001334206356137219,2e-05
2020-03-27,1399.9995171201192,0.0001458093890250999,0.00018474277998152764,0.00015032771320795243,2e-05
2020-03-28,1399.9994673050062,0.00015974619613883355,0.0002021259013143309,0.0001688228973000926,2.4e-05
2020-03-29,1399.9994127966872,0.00017495438084024276,0.00022118837312288492,0.0001890605597121879,2.7e-05
2020-03-30,1399.9993531438079,0.000191570589077042,0.00024207732608199929,0.00021120827783351078,3.2e-05
2020-03-31,1399.999287854781,0.0002097387860097115,0.0002649578670946659,0.00023544856671066255,3.5e-05
2020-04-01,1399.9992163931267,0.0002296128772202,0.0002900133878044861,0.00026198060913640975,5.8e-05
2020-04-02,1399.999138172664,0.00025135891467193187,0.00031744638139381853,0.0002910220406826491,7.2e-05
2020-04-03,1399.999052552441,0.00027515707868689353,0.00034747964861883083,0.0003228108323240549,7.2e-05
2020-04-04,1399.9989588313122,0.00030120355832419297,0.00038035782676747675,0.0003576073037641825,8.6e-05
2020-04-05,1399.9988562420772,0.0003297124255454488,0.000416349199292688,0.0003956962988441754,9.9e-05
2020-04-06,1399.9987439451354,0.0003609175622224294,0.00045574776047978147,0.0004373895427670937,0.000136
2020-04-07,1399.9986210215636,0.00039507468751870666,0.00049887553857605,0.00048302821123248776,0.00015
2020-04-08,1399.9984864655605,0.00043246352724020734,0.0005460851771980226,0.0005329857359367427,0.000178
2020-04-09,1399.9983391761978,0.0004733901525151427,0.00059776278312117,0.0005876708673842271,0.000226
2020-04-10,1399.9981779484012,0.0005181895147703465,0.0006543310615715369,0.0006475310234080228,0.000246
2020-04-11,1399.9980014630848,0.0005672282070074318,0.0007162527570650811,0.0007130559517774061,0.000288
2020-04-12,1399.9978082763505,0.0006209074778020539,0.0007840344314569707,0.0007847817411967997,0.000331
2020-04-13,1399.9975968076485,0.0006796665286196393,0.0008582306080528045,0.0008632952158044452,0.000358
2020-04-14,1399.9973653268833,0.0007439861037503736,0.0009394482901392189,0.0009492387236033618,0.000393
2020-04-15,1399.9971119402398,0.0008143924305468431,0.0010283519315994083,0.0010433153987597253,0.000405
2020-04-16,1399.9968345746863,0.0008914615282315652,0.0011256688711240423,0.0011462949153590444,0.000448
2020-04-17,1399.9965309610145,0.0009758239220694165,0.0012321952801424855,0.0012590197839576908,0.000486
2020-04-18,1399.996198615274,0.0010681698028201288,0.0013488026780593986,0.001382412246154643,0.000521
2020-04-19,1399.995834818467,0.0011692546680922454,0.0014764450539152812,0.0015174818119203489,0.000559
2020-04-20,1399.9954365942892,0.001279905509833831,0.0016161666760300731,0.0016653335257975563,0.000592
2020-04-21,1399.9950006847753,0.0014010275794371168,0.0017691106373147344,0.0018271770087358282,0.000645
2020-04-22,1399.9945235236567,0.0015336117904705278,0.0019365282032730402,0.0020043363505990544,0.000681
2020-04-23,1399.9940012071872,0.0016787428248282495,0.002119789046956169,0.002198260941983015,0.000721
2020-04-24,1399.9934294622142,0.0018376080057459345,0.0023203924508794914,0.0024105373300886477,0.00078
2020-04-25,1399.992803611202,0.0020115070133662183,0.002539979580505647,0.002642902205157274,0.000825
2020-04-26,1399.9921185339783,0.0022018625134052885,0.0027803469054066255,0.002897256604113846,0.000881
2020-04-27,1399.9913686258528,0.0024102317940014038,0.0030434608929924777,0.0031756814613731967,0.000939
2020-04-28,1399.9905477518107,0.0026383194939078136,0.0033314740788794924,0.0034804546174317585,0.001008
2020-04-29,1399.9896491962163,0.0028879915733160547,0.0036467427170584895,0.0038140694946685425,0.001079
2020-04-30,1399.9886656079614,0.003161290553065854,0.00399184602330263,0.0041792554635292955,0.001154
2020-05-01,1399.9875889403183,0.003460452226558784,0.004369607278795981,0.004579000177568615,0.001223
2020-05-02,1399.9864103851423,0.0037879239426544882,0.004783116911400226,0.0050165740048436075,0.001323
2020-05-03,1399.985120300787,0.004146384627589393,0.005235757791652549,0.005495556795057078,0.001391
2020-05-04,1399.9837081332648,0.004538766683777428,0.005731232897578162,0.006019867155028767,0.001566
2020-05-05,1399.982162329908,0.004968279982520609,0.006273595600717701,0.006593794509963656,0.001693
2020-05-06,1399.9804702448773,0.005438438115287037,0.0068672828167710975,0.007222034191726445,0.001785
2020-05-07,1399.9786180357594,0.005953087119272646,0.007517151284799849,0.00790972583769984,0.001889
2020-05-08,1399.9765905503273,0.00651643691443615,0.008228517316774422,0.008662495442566118,0.001985
