Date,Predicted Infected,Predicted Recovered
2020-12-01,0.387263807846145,9.627976695252492
2020-12-02,0.38764458325865414,9.826139493806625
2020-12-03,0.3888239805063162,10.04577516088925
2020-12-04,0.3908744568073078,10.288900269283234
2020-12-05,0.3938811327140079,10.557618886478107
2020-12-06,0.3979439197027942,10.854101425343929
2020-12-07,0.4031798050123711,11.180552314001481
2020-12-08,0.4097254004407098,11.539162838679436
2020-12-09,0.41320844247343136,11.859558411880743
2020-12-10,0.41705172042412475,12.197448130519897
2020-12-11,0.42120396133074345,12.552453881537554
2020-12-12,0.4256002723088062,12.923979976997341
2020-12-13,0.4301588980377308,13.311204820800913
2020-12-14,0.4347773685541984,13.713081802045236
2020-12-15,0.4393280160357537,14.12835264889372
